date,pollster,election_year,party_letter,party_name,pct,seats,n,source_url,notes
2022-05-13,Gallup,2022,J,Sósíalistaflokkur,6.9,1,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,
2022-05-13,Gallup,2022,M,Miðflokkur,2.0,0,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from attribution swap
2022-05-13,Gallup,2022,P,Píratar,13.2,,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from attribution swap
2022-05-13,Gallup,2022,S,Samfylking,24.0,6,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from 22.8
2022-05-13,Gallup,2022,V,Vinstri græn,4.5,1,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Range 4.2-4.6
2022-05-13,Gallup,2022,Y,Ábyrg framtíð,0.6,0,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from 1.8
2022-05-13,Gallup,2022,E,"Reykjavík, besta borgin",0.3,0,1133,https://www.gallup.is/documents/719/4033400_LokakonnunFKosningar_130522_an_greininga.pdf,Corrected from 1.5
2018-05-08,Fréttablaðið,2018,S,Samfylking,30.5,8,,https://kosningasaga.wordpress.com/2018/05/08/skodanakonnun-i-reykjavik/,Incomplete - several parties only described qualitatively
2018-05-08,Fréttablaðið,2018,V,Vinstri græn,10.9,3,,https://kosningasaga.wordpress.com/2018/05/08/skodanakonnun-i-reykjavik/,
2018-05-08,Fréttablaðið,2018,P,Píratar,7.5,2,,https://kosningasaga.wordpress.com/2018/05/08/skodanakonnun-i-reykjavik/,
2018-05-08,Fréttablaðið,2018,D,Sjálfstæðisflokkur,22.4,6,,https://kosningasaga.wordpress.com/2018/05/08/skodanakonnun-i-reykjavik/,
2018-05-08,Fréttablaðið,2018,C,Viðreisn,8.9,2,,https://kosningasaga.wordpress.com/2018/05/08/skodanakonnun-i-reykjavik/,
2018-05-08,Fréttablaðið,2018,M,Miðflokkur,7.3,2,,https://kosningasaga.wordpress.com/2018/05/08/skodanakonnun-i-reykjavik/,
2018-05-17,Gallup,2018,S,Samfylking,,9,,https://kosningasaga.wordpress.com/2018/05/17/skodanakonnun-i-reykjavik-2/,Conducted for Viðskiptablaðið; only seats reported
2018-05-17,Gallup,2018,D,Sjálfstæðisflokkur,,7,,https://kosningasaga.wordpress.com/2018/05/17/skodanakonnun-i-reykjavik-2/,
2018-05-17,Gallup,2018,P,Píratar,,3,,https://kosningasaga.wordpress.com/2018/05/17/skodanakonnun-i-reykjavik-2/,
2018-05-17,Gallup,2018,C,Viðreisn,,1,,https://kosningasaga.wordpress.com/2018/05/17/skodanakonnun-i-reykjavik-2/,
2018-05-17,Gallup,2018,J,Sósíalistaflokkur,,1,,https://kosningasaga.wordpress.com/2018/05/17/skodanakonnun-i-reykjavik-2/,
2018-05-17,Gallup,2018,M,Miðflokkur,,1,,https://kosningasaga.wordpress.com/2018/05/17/skodanakonnun-i-reykjavik-2/,
2018-05-17,Gallup,2018,V,Vinstri græn,,1,,https://kosningasaga.wordpress.com/2018/05/17/skodanakonnun-i-reykjavik-2/,
2018-05-23,Félagsvísindastofnun,2018,S,Samfylking,,8,,https://kosningasaga.wordpress.com/2018/05/23/skodanakonnun-i-reykjavik-3/,Conducted for Morgunblaðið; only seats reported
2018-05-23,Félagsvísindastofnun,2018,D,Sjálfstæðisflokkur,,7,,https://kosningasaga.wordpress.com/2018/05/23/skodanakonnun-i-reykjavik-3/,
2018-05-23,Félagsvísindastofnun,2018,P,Píratar,,2,,https://kosningasaga.wordpress.com/2018/05/23/skodanakonnun-i-reykjavik-3/,
2018-05-23,Félagsvísindastofnun,2018,V,Vinstri græn,,2,,https://kosningasaga.wordpress.com/2018/05/23/skodanakonnun-i-reykjavik-3/,
2018-05-23,Félagsvísindastofnun,2018,B,Framsóknarflokkur,,1,,https://kosningasaga.wordpress.com/2018/05/23/skodanakonnun-i-reykjavik-3/,
2018-05-23,Félagsvísindastofnun,2018,C,Viðreisn,,1,,https://kosningasaga.wordpress.com/2018/05/23/skodanakonnun-i-reykjavik-3/,
2018-05-23,Félagsvísindastofnun,2018,J,Sósíalistaflokkur,,1,,https://kosningasaga.wordpress.com/2018/05/23/skodanakonnun-i-reykjavik-3/,
2018-05-23,Félagsvísindastofnun,2018,M,Miðflokkur,,1,,https://kosningasaga.wordpress.com/2018/05/23/skodanakonnun-i-reykjavik-3/,
2018-05-25,Fréttablaðið,2018,S,Samfylking,,9,,https://kosningasaga.wordpress.com/2018/05/25/skodanakonnun-i-reykjavik-4/,Only seats reported
2018-05-25,Fréttablaðið,2018,D,Sjálfstæðisflokkur,,7,,https://kosningasaga.wordpress.com/2018/05/25/skodanakonnun-i-reykjavik-4/,
2018-05-25,Fréttablaðið,2018,V,Vinstri græn,,2,,https://kosningasaga.wordpress.com/2018/05/25/skodanakonnun-i-reykjavik-4/,
2018-05-25,Fréttablaðið,2018,P,Píratar,,2,,https://kosningasaga.wordpress.com/2018/05/25/skodanakonnun-i-reykjavik-4/,
2018-05-25,Fréttablaðið,2018,B,Framsóknarflokkur,,1,,https://kosningasaga.wordpress.com/2018/05/25/skodanakonnun-i-reykjavik-4/,
2018-05-25,Fréttablaðið,2018,C,Viðreisn,,1,,https://kosningasaga.wordpress.com/2018/05/25/skodanakonnun-i-reykjavik-4/,
2018-05-25,Fréttablaðið,2018,M,Miðflokkur,,1,,https://kosningasaga.wordpress.com/2018/05/25/skodanakonnun-i-reykjavik-4/,
2014-05-20,Unknown,2014,S,Samfylking,34.0,6,,https://kosningasaga.wordpress.com/2014/05/20/frambodsfrettir-dagsins-107/,Pollster not named in post
2014-05-20,Unknown,2014,Æ,Björt framtíð,22.0,4,,https://kosningasaga.wordpress.com/2014/05/20/frambodsfrettir-dagsins-107/,
2014-05-20,Unknown,2014,D,Sjálfstæðisflokkur,21.5,3,,https://kosningasaga.wordpress.com/2014/05/20/frambodsfrettir-dagsins-107/,
2014-05-20,Unknown,2014,V,Vinstri græn,6.3,1,,https://kosningasaga.wordpress.com/2014/05/20/frambodsfrettir-dagsins-107/,
2014-05-20,Unknown,2014,Þ,Píratar,9.0,1,,https://kosningasaga.wordpress.com/2014/05/20/frambodsfrettir-dagsins-107/,Post says 'ríflega 9%'
2014-05-20,Unknown,2014,B,Framsókn og flugvallarvinir,3.0,0,,https://kosningasaga.wordpress.com/2014/05/20/frambodsfrettir-dagsins-107/,
