vnv,date,growth
0.12252475247524841,1963-06-09,7.3
0.12263436790310345,1967-06-11,2.0500000000000007
0.1328125,1971-06-13,9.4
0.1896551724137927,1974-06-30,4.8
0.2901554404145086,1978-06-25,6.6
0.5047489823609221,1979-12-03,4.55
0.5000000000000004,1983-04-23,-1.3
0.2440249701819166,1987-04-25,6.4
0.16297659113841934,1991-04-20,-0.5499999999999999
0.025278228523795354,1995-04-08,1.35
0.021126337785788873,1999-05-08,4.449999999999999
0.04905181726277519,2003-05-10,0.55
0.08560321684537331,2007-05-12,4.8
0.13808817561198938,2009-04-25,-3.8500000000000005
0.0465618593082997,2013-04-27,1.9500000000000002
0.01714284506090258,2016-10-29,4.1
0.013121087201551251,2017-10-28,3.25
0.027952264132785398,2021-09-25,-2.1999999999999993
0.08914721764871314,2024-11-30,2.4
